A Heart of Mother (2016)        Drama
A Heart of Mother (2016)        Thriller
A Heart of the Forest (1913)    Drama
A Heart of the Forest (1913)    Short
A Heart to Change (2014)        Documentary
A Heart to Change (2014)        News
A Heart to Change (2014)        Short
A Heart to Let (1921)   Comedy
A Heart's Chance (2009) Drama
A Heart's Chance (2009) Family
A Heart's Chance (2009) Short
A Heart's Devotion (1909)       Drama
A Heart's Devotion (1909)       Short
A Heart's Journey (2011)        Drama
A Heart's Journey (2011)        Short
A Heart's Journey (2013)        Drama
A Heart's Journey (2013)        Short
A Heart's Journey (2014) {{SUSPENDED}}  Drama
A Heart's Journey (2015)        Drama
A Heart's Revenge (1918)        Drama
A Heartbeat Away (2011) Comedy
A Heartbeat Away (2011) Musical
A Heartbeat Away (2015) Documentary
A Heartbeat Away from Destiny: The Michael Montgomery Story (2017)      Documentary
A Heartbeat Away from Stroke (2013) (TV)        Documentary
A Heartland Christmas (2010) (TV)       Family
A Heartless Mother (1908)       Drama
A Heartless Mother (1908)       Short
A Hearts Desire (2016)  Short
A Hearty Stew (2011)    Drama
A Hearty Stew (2011)    Short
A Heat Pump in the Ocean (2012) Biography
A Heat Pump in the Ocean (2012) Documentary
A Heat Pump in the Ocean (2012) Short
A Heated Interview (2013)       Comedy
A Heated Interview (2013)       Short
A Heathen Benefit (1918)        Animation
A Heathen Benefit (1918)        Comedy
A Heathen Benefit (1918)        Short
A Heaven for Queers (2011)      Comedy
A Heaven for Queers (2011)      Drama
A Heaven for Queers (2011)      Romance
A Heavenly Christmas (2016) (TV)        Drama
A Heavy Date (1927)     Animation
A Heavy Date (1927)     Comedy
A Heavy Date (1927)     Short
A Heavy Headpiece (1908)        Comedy
A Heavy Headpiece (1908)        Short
A Heavy Heart (2009) {{SUSPENDED}}      Drama
A Heavy Surf at Atlantic City (1902)    Documentary
A Heavy Surf at Atlantic City (1902)    Short
A Hedgehog Defeats the Tiger (1984)     Animation
A Hedgehog's Visit (2014)       Animation
A Hedgehog's Visit (2014)       Short
A Hedgehogs's Journey (2016) (TV)       Adventure
A Hedgehogs's Journey (2016) (TV)       Short
A Heightened Sense of Perception (2016) Short
A Helical (2018)        Sci-Fi
A Hell of a Good Time (2013)    Romance
A Hell of a Good Time (2013)    Short
A Hell of a Night (2011)        Crime
A Hell of a Night (2011)        Mystery
A Hell of a Night (2011)        Short
A Hell of a Night (2011)        Thriller
A Hell of a Night (2013)        Comedy
A Hell of a Night (2013)        Short
A Hell of a Note (1977) Short
A Hellish Chaos (2017)  Documentary
A Helpful Sisterhood (1914)     Drama
A Helpful Sisterhood (1914)     Short
