 Afghanistan = Afghanistan
 Albania = Albanië
 Algeria = Algerije
 American Samoa = Amerikaans Samoa
 Andorra = Andorra 
 Angola = Angola
 Anguilla = Anguilla
 Antigua and Barbuda = Antigua en Barbuda
 Argentina = Argentinië
 Armenia = Armenië
 Aruba = Aruba
 Australasia = Australazië
 Australia = Australië
 Austria = Oostenrijk
 Azerbaijan = Azerbeidzjan
 Bahamas = Bahamas
 Bahrain = Bahrein
 Bangladesh = Bangladesh
 Barbados = Barbados
 Belarus = Wit-Rusland
 Belgium = België
 Belize = Belize
 Benin = Benin
 Bermuda = Bermuda
 Bhutan = Bhutan
 Bolivia = Bolivia
 Bonaire, Sint Eustatius and Saba = Bonaire, Sint Eustatius en Saba
 Bosnia and Herzegovina = Bosnië-Herzegovina
 Bosnia-Herzegovina = Bosnië-Herzegovina
 Botswana = Botswana
 Brazil = Brazilië
 British Virgin Islands = Britse Maagdeneilanden
 Brunei Darussalam = Brunei Darussalam
 Bulgaria = Bulgarije
 Burkina Faso = Burkina Faso
 Burundi = Boeroendi
 Cambodia = Cambodja
 Cameroon = Kameroen
 Canada = Canada
 Cape Verde = Kaapverdië
 Cayman Islands = Kaaiman Eilanden
 Central African Republic = Centraal Afrikaanse Republiek
 Chad = Tsjaad
 Chile = Chili
 China = China
 Colombia = Colombia
 Comoros = Comoren
 Congo = Congo
 Cook Islands = Cook Eilanden
 Costa Rica = Costa Rica
 Croatia = Kroatië
 Cuba = Cuba
 Cyprus = Cyprus
 Czech Republic = Tsjechische Republiek
 Czechoslovakia = Tsjecho-Slowakije
 Denmark = Denemarken
 Djibouti = Djibouti
 Dominica = Dominica
 Dominican Republic = Dominicaanse Republiek
 East Germany = Oost-Duitsland
 Ecuador = Ecuador
 Egypt = Egypte
 El Salvador = El Salvador
 Equatorial Guinea = Equatoriaal-Guinea
 Eritrea = Eritrea
 Estonia = Estland
 Ethiopia = Ethiopië
 Faroe Islands = Faeröer
 Federal Republic of Yugoslavia = Federale Republiek Joegoslavië
 Fiji = Fiji
 Finland = Finland
 France = Frankrijk
 French Guiana = Frans Guyana
 French Polynesia = Frans-Polynesië
 Gabon = Gabon
 Georgia = Georgië
 Germany = Duitsland
 Ghana = Ghana
 Greece = Griekenland
 Greenland = Groenland
